name,model,steps,prompt,strategy,use_wandb,batch_size,gen_length,ignore_pad,n_problems,output_dir,temperature,wandb_entity,wandb_project,use_confidence_weighting,_runtime,_step,_timestamp,_wandb,avg_diversity,avg_time,cumulative_at_1,cumulative_at_10,cumulative_at_11,cumulative_at_12,cumulative_at_13,cumulative_at_14,cumulative_at_15,cumulative_at_16,cumulative_at_2,cumulative_at_3,cumulative_at_4,cumulative_at_5,cumulative_at_6,cumulative_at_7,cumulative_at_8,cumulative_at_9,pass_at_1,pass_at_10,pass_at_11,pass_at_12,pass_at_13,pass_at_14,pass_at_15,pass_at_16,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_6,pass_at_7,pass_at_8,pass_at_9,results_table,std_diversity,std_time
trial_0_orthogonal_projection_alpha2.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-01,0.0,,text_dpp,True,4426.0,0.0,1770363394.6581197,{'runtime': 4426},0.10375550478696824,22.03724745750427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.775,0.775,0.78,0.785,0.785,0.79,0.795,0.645,0.675,0.72,0.74,0.755,0.755,0.765,0.77,"{'_latest_artifact_path': 'wandb-client-artifact://csj183vu4rgw7q9x9sskdmodb2uugmfgnq3zfs11qieac79avv3c68q4x9vhp7ixqoveyr2vkx41tjrg0zlqfjao8gjiw9wceb9h9ysxe8v5d8cveif5qg569tnkq15l:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://3kyqqw5i6h2me97g0cm3jem5fp055c30xe855hflcs229btvwmmwmol4tlz5aucofnpj1h42pmfipvbehq6v5hfe1wcpely0lypj3druty6j64c1x88nzu0je8f7gjgv/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_2c5238df96097aacdbc2.table.json', 'sha256': '2c5238df96097aacdbc22d9014ae6005948ca4ae2863a8ebb3d2cc464e4ac075', 'size': 1434828}",0.08879229602894081,2.2056444355682716
trial_2_orthogonal_projection_alpha2.0_temp1.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-53,1.0,,text_dpp,True,4004.0,0.0,1770362998.5174196,{'runtime': 4004},0.16775565072894097,20.004748603105543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.79,0.795,0.805,0.815,0.825,0.83,0.83,0.65,0.685,0.7,0.72,0.74,0.75,0.77,0.785,"{'_latest_artifact_path': 'wandb-client-artifact://9bvi13rg9nyf6nck7j9v28e2gpgzh2ym47218wdjcy7lkicz89sp99sq71n5oal11922f9s5fc1yttjn57mflhsg2x5ddp9j6w6n342amvta954lhw2bvj1o1aa09sds:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://dojm5ukag67xgzhsw5ibuusv6f8q90ieepzgap9dm8m7woys1sndfkgs6qh87pe2d6cpiyp802qzgnzkdkxn7v0wuhvt3hq60cpk1fteyecipgll5cn6w69dieki4iwx/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_48d7e4502c1a2f2d32ce.table.json', 'sha256': '48d7e4502c1a2f2d32ce19ce372abb7a91ee9d66c6056b4df74ee88877704f69', 'size': 1413724}",0.14351226028782324,2.524932020084155
trial_3_orthogonal_projection_alpha2.0_temp1.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/17-00-51,1.5,,text_dpp,True,4448.0,0.0,1770363918.0537708,{'runtime': 4448},0.2489250883460045,22.223588161468506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.79,0.8,0.815,0.815,0.83,0.835,0.835,0.645,0.7,0.72,0.74,0.745,0.75,0.76,0.775,"{'_latest_artifact_path': 'wandb-client-artifact://cb3gaidyjazomlxjufyo4q772c672eouvs4s55b2vn9b94jf1f7gdzbxphm5pzrb5sa2cd695dn8v1qm6wo1uuxyixdu0ke2xy4ax8m7kx00k7z5aiu7mfc2bg1mvbqn:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://5xcl2uc88mmva0x99z3d48oiq43gsxc7ebr2yfeys6itthk3mj79ws64oaylrd2tinzcd1fyc3bnediax08yihjn1cmq4azyuhi413t1pnans5tjko5kvvhf8qjsftl8/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_e8c06deb72d195b21ce5.table.json', 'sha256': 'e8c06deb72d195b21ce579bc4fb1f1db488bd079a4c8845ef7bf135a83f4262c', 'size': 1393137}",0.1844240345642283,2.8422469232955
trial_4_orthogonal_projection_alpha2.0_temp2.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-53,2.0,,text_dpp,True,4022.0,0.0,1770367025.9787374,{'runtime': 4022},0.438383868932724,20.098195424079893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.725,0.735,0.74,0.745,0.745,0.755,0.765,0.49,0.575,0.605,0.63,0.645,0.67,0.7,0.71,"{'_latest_artifact_path': 'wandb-client-artifact://l811b8b7areif7op5ltz1iuf0ag2m0ljbaudeo8e4jw2xc1h3z7xp30b8gy6dxy99y15ot92t45bc28ns7v4x8tulnjrewaovxpttixf3qxrr9daoosxhy8ddvcst7t8:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1h1orzwfkyuq74i4cpg958w567ws6kmu7e2n9upui9ca76gb48pmby5in5866hyi1vq7hwiresljfs51q8nu7teuyvvb8xtlnf5idqtfk04cnr100k51ku9d8gk3fyvf/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_53534790d63bda5f97c0.table.json', 'sha256': '53534790d63bda5f97c0e97a26a103d6b765c9a7ea9bc3103012696a2026d21d', 'size': 1505400}",0.11056010681636629,2.5316925128002263
trial_5_orthogonal_projection_alpha8.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-01,0.0,,text_dpp,True,4421.0,0.0,1770367840.9865134,{'runtime': 4421},0.1304136848449707,22.04632869362831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.755,0.77,0.77,0.77,0.77,0.775,0.775,0.655,0.685,0.695,0.715,0.72,0.73,0.74,0.74,"{'_latest_artifact_path': 'wandb-client-artifact://c7p4c0a0ihwqg2zkkveu2fxgwvrral939zhrinmdvjlhlvbgiyppei2vcemxl0isftrt62q3qwgsnm7sz0h5fabkcjeovgwpotef8czd7pftf5sai2ahcm8bvqg9ymef:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://m91x6elud27pt37d7bd4ib04a6im6js4c0x5obq4n5l979og6wyxu3emqgawdxa67l9luh8r5n0yt3lmydld41y3uuar3jxgjdkdhmcc5rn3zagst1is36abgd478fwc/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_2b386010b64193881390.table.json', 'sha256': '2b386010b641938813902fa4acd6067908bb823f2c20607fb2cb2b647e7f4b14', 'size': 1440806}",0.0835365026221041,2.214783544313192
trial_6_orthogonal_projection_alpha8.0_temp0.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/17-00-51,0.5,,text_dpp,True,4222.0,0.0,1770368145.6650782,{'runtime': 4222},0.13554353684186934,21.098133553266525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.815,0.825,0.835,0.845,0.845,0.845,0.85,0.65,0.705,0.735,0.75,0.775,0.795,0.81,0.81,"{'_latest_artifact_path': 'wandb-client-artifact://qpnvgzdqtigwqbhbof5em7iankb3u29n2kkd0nrabtsvd25djhleik3xy2nqxxyyiwq82ypkn0ghrxvye4qy5ax5ivmaj2bc6pubinlyrdczppco339qn2ao0eaw84ke:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://tics3tt4bjx3vzczfsufrnaxvgul93320m65jok0ij5gyfvjtec1vhnx0i1vsexdttx1qghavdf3xytw0canl2ee1p6oios9601rmwxarz068hh56tkk826oztwxgegj/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_c8c57299590b23061944.table.json', 'sha256': 'c8c57299590b23061944f3fef0144f69a3ee9195ad36bb790ed7bf3af781d38e', 'size': 1438883}",0.08399091816576663,2.6744238343857303
trial_7_orthogonal_projection_alpha8.0_temp1.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-53,1.0,,text_dpp,True,4019.0,0.0,1770371052.2853746,{'runtime': 4019},0.15553464457392693,20.086328080892564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.81,0.825,0.825,0.835,0.835,0.835,0.84,0.615,0.655,0.7,0.735,0.765,0.78,0.785,0.8,"{'_latest_artifact_path': 'wandb-client-artifact://snghkouze2ea7wxui4mi2pnc6conf4aswd1q4n3ivvi06kppq3nhl3xbdx076lfjm8v97dzblp7vi5djvmwmarxi6ihqwb2jnvhlkh93l9nhp6u6k9qui5bjuz05kr9u:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://nn7q0t6qrm2tw4lspjht3mhn6rwengew273kctxm5brary86tq4ifh60dwwek334yij1fkujeemuhwcwillhl3gz75pjgjvu8dcuc11rm1gtsvmpftk79x3dlhsyddtn/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_b9e5c9620a08b522e0c8.table.json', 'sha256': 'b9e5c9620a08b522e0c837a8c1e4cc607fbcfc57869fc4520daed42fdb2c361b', 'size': 1431333}",0.10370629599286298,2.5283215218100437
trial_8_orthogonal_projection_alpha8.0_temp1.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-01,1.5,,text_dpp,True,5585.0,0.0,1770373456.1363766,{'runtime': 5585},0.21314914420247075,27.86337761759758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.79,0.795,0.805,0.81,0.815,0.825,0.835,0.595,0.655,0.69,0.715,0.735,0.77,0.78,0.785,"{'_latest_artifact_path': 'wandb-client-artifact://38v8imblt3v16s3ui7xljrxi6ydedxq12tymua7b81ji3xzaushcdr9husd7sraew6u195o6wyinwwze3ly9woejnrhk5dyqqrfc8wh1w3xtd8eew0n3itcj4gek0a06:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://rb2xfatnnohhad2v33ko53c125o4tmr0zcjj79tkyzr3m1olgbmmn4eliqtrr9a9ilxt7mie80vchbfvpa9bgnrwz26d3gym8g7qngs4mu1rgtdhibbdgop3j1g611bd/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_10559d3dd8c3b4ca0b68.table.json', 'sha256': '10559d3dd8c3b4ca0b68bb5db651f8e530c45684446ba8168974b8ba954c8cd0', 'size': 1422465}",0.13286855764515104,3.113314657758931
trial_9_orthogonal_projection_alpha8.0_temp2.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/17-00-51,2.0,,text_dpp,True,4222.0,0.0,1770372373.6749792,{'runtime': 4222},0.3974816831946373,21.09830505847931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.74,0.745,0.755,0.76,0.77,0.77,0.775,0.49,0.58,0.64,0.665,0.685,0.7,0.715,0.73,"{'_latest_artifact_path': 'wandb-client-artifact://o781qnikqx4d1dm8uakrsrhhbkcp5fk7a1im0frm0a0xnqqougd169i98e9gh4j8tgestkpxxvu0zm8z92vlm0v4r3r13vbnztl36i6gqd1uw1qlzrrkzrcsd6fl0l1d:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://dytzpz9ajsoarfrfq8mkhhe3dy57uzhy5ppmkwyrrjeugu9eb9kgxmqkvh8z6z5ti7rxqlfqtl0wmnhfka5dy1pj35f6wxzw4y7kghb6xggyjtnow21bfo4afml4alh2/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_c8dea823e6e08c54adfc.table.json', 'sha256': 'c8dea823e6e08c54adfca5ced248957f321fb49df299212893562bf0c1440039', 'size': 1504556}",0.1170760686814234,2.695257202967312
trial_10_orthogonal_projection_alpha16.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 16, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",False,16,64,False,300,outputs/2026-02-06/16-52-53,0.0,,text_dpp,True,3659.0,0.0,1770374718.0151985,{'runtime': 3659},0.13600152760744094,18.285184025764465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.78,0.785,0.785,0.795,0.795,0.8,0.8,0.68,0.69,0.715,0.72,0.74,0.755,0.765,0.77,"{'_latest_artifact_path': 'wandb-client-artifact://k6qq0nrrjsygbyif7vgk9asq9t7elc3aho5r0fiimhckyyhcg3itzsw2xfvxb1a8h1nzcsmztqlqyiq0lc7nrwnmi1w9qtne0idctj57vjmm1veeffrrf4l7sajujdgt:latest/results_table.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://tqkketi5cws0dgb8dnc3trpn00o3ahu5778gkukms1by1fq5p34dum365mpbn2ejjhcip7q0jjdvqd8ap5e7l0godb79co2typm2r07ssfj8i4f7kq694y4ytr03a3rd/results_table.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 3200, 'path': 'media/table/results_table_0_7607da2a1baa2a428046.table.json', 'sha256': '7607da2a1baa2a4280460ea451f977f5afcdb0de686c8bd382e8ccc918594539', 'size': 1443586}",0.08117581208174657,2.2870737556592937
